FIGURE,SETTING,INDICATOR,GROUP,SUBGROUP,TIME,START_TIME,END_TIME,VALUE,MEASURE
0,ED,,,,33,09/01/2022,09/30/2022,104134,Count
0,ED,,,,34,10/01/2022,10/31/2022,109108,Count
0,ED,,,,35,11/01/2022,11/30/2022,109472,Count
0,ED,,,,36,12/01/2022,12/31/2022,104300,Count
0,ED,,,,37,01/01/2023,01/31/2023,96568,Count
0,ED,,,,38,02/01/2023,02/28/2023,90527,Count
0,ED,,,,39,03/01/2023,03/31/2023,100857,Count
0,ED,,,,40,04/01/2023,04/30/2023,89142,Count
0,ED,,,,41,05/01/2023,05/27/2023,54008,Count
1,ED,All Drugs,Age,0-15 Years,1,01/01/2020,01/31/2020,4.06127822548472,Percent
1,ED,All Opioids,Age,0-15 Years,1,01/01/2020,01/31/2020,0.023936806829969,Percent
1,ED,Stimulants,Age,0-15 Years,1,01/01/2020,01/31/2020,0.023936806829969,Percent
1,ED,Cannabis,Age,0-15 Years,1,01/01/2020,01/31/2020,0.111705098539855,Percent
1,ED,Benzodiazepine,Age,0-15 Years,1,01/01/2020,01/31/2020,0.01063858081332,Percent
1,ED,All Drugs,Age,0-15 Years,2,02/01/2020,02/29/2020,3.958125036758219,Percent
1,ED,All Opioids,Age,0-15 Years,2,02/01/2020,02/29/2020,0.023525260248191,Percent
1,ED,Stimulants,Age,0-15 Years,2,02/01/2020,02/29/2020,0.032347232841263,Percent
1,ED,Cannabis,Age,0-15 Years,2,02/01/2020,02/29/2020,0.099982356054814,Percent
1,ED,Benzodiazepine,Age,0-15 Years,2,02/01/2020,02/29/2020,0.01470328765512,Percent
1,ED,All Drugs,Age,0-15 Years,3,03/01/2020,03/31/2020,3.490702148124399,Percent
1,ED,All Opioids,Age,0-15 Years,3,03/01/2020,03/31/2020,0.008015389547932,Percent
1,ED,Stimulants,Age,0-15 Years,3,03/01/2020,03/31/2020,0.024046168643796,Percent
1,ED,Cannabis,Age,0-15 Years,3,03/01/2020,03/31/2020,0.112215453671048,Percent
1,ED,Benzodiazepine,Age,0-15 Years,3,03/01/2020,03/31/2020,0.032061558191728,Percent
1,ED,All Drugs,Age,0-15 Years,4,04/01/2020,04/30/2020,3.490531006312662,Percent
1,ED,All Opioids,Age,0-15 Years,4,04/01/2020,04/30/2020,0.037133308577794,Percent
1,ED,Stimulants,Age,0-15 Years,4,04/01/2020,04/30/2020,0.061888847629657,Percent
1,ED,Cannabis,Age,0-15 Years,4,04/01/2020,04/30/2020,0.185666542888971,Percent
1,ED,Benzodiazepine,Age,0-15 Years,4,04/01/2020,04/30/2020,0.024755539051863,Percent
1,ED,All Drugs,Age,0-15 Years,5,05/01/2020,05/31/2020,4.539214789054635,Percent
1,ED,All Opioids,Age,0-15 Years,5,05/01/2020,05/31/2020,0.045758213599341,Percent
1,ED,Stimulants,Age,0-15 Years,5,05/01/2020,05/31/2020,0.091516427198682,Percent
1,ED,Cannabis,Age,0-15 Years,5,05/01/2020,05/31/2020,0.183032854397364,Percent
1,ED,Benzodiazepine,Age,0-15 Years,5,05/01/2020,05/31/2020,0.091516427198682,Percent
1,ED,All Drugs,Age,0-15 Years,6,06/01/2020,06/30/2020,3.635050553683197,Percent
1,ED,All Opioids,Age,0-15 Years,6,06/01/2020,06/30/2020,0.032097576632964,Percent
1,ED,Stimulants,Age,0-15 Years,6,06/01/2020,06/30/2020,0.072219547424169,Percent
1,ED,Cannabis,Age,0-15 Years,6,06/01/2020,06/30/2020,0.192585459797785,Percent
1,ED,Benzodiazepine,Age,0-15 Years,6,06/01/2020,06/30/2020,0.016048788316482,Percent
1,ED,All Drugs,Age,0-15 Years,7,07/01/2020,07/31/2020,3.755931297199759,Percent
1,ED,All Opioids,Age,0-15 Years,7,07/01/2020,07/31/2020,0.040098910646261,Percent
1,ED,Stimulants,Age,0-15 Years,7,07/01/2020,07/31/2020,0.086880973066898,Percent
1,ED,Cannabis,Age,0-15 Years,7,07/01/2020,07/31/2020,0.180445097908173,Percent
1,ED,Benzodiazepine,Age,0-15 Years,7,07/01/2020,07/31/2020,0.02004945532313,Percent
1,ED,All Drugs,Age,0-15 Years,8,08/01/2020,08/31/2020,3.717201166180758,Percent
1,ED,All Opioids,Age,0-15 Years,8,08/01/2020,08/31/2020,0.072886297376093,Percent
1,ED,Stimulants,Age,0-15 Years,8,08/01/2020,08/31/2020,0.039756162205142,Percent
1,ED,Cannabis,Age,0-15 Years,8,08/01/2020,08/31/2020,0.139146567717996,Percent
1,ED,Benzodiazepine,Age,0-15 Years,8,08/01/2020,08/31/2020,0.026504108136761,Percent
1,ED,All Drugs,Age,0-15 Years,9,09/01/2020,09/30/2020,4.40691127936323,Percent
1,ED,All Opioids,Age,0-15 Years,9,09/01/2020,09/30/2020,0.0647123535883,Percent
1,ED,Stimulants,Age,0-15 Years,9,09/01/2020,09/30/2020,0.05824111822947,Percent
1,ED,Cannabis,Age,0-15 Years,9,09/01/2020,09/30/2020,0.20707953148256,Percent
1,ED,Benzodiazepine,Age,0-15 Years,9,09/01/2020,09/30/2020,0.01941370607649,Percent
1,ED,All Drugs,Age,0-15 Years,10,10/01/2020,10/31/2020,4.312856238125396,Percent
1,ED,All Opioids,Age,0-15 Years,10,10/01/2020,10/31/2020,0.025332488917036,Percent
1,ED,Stimulants,Age,0-15 Years,10,10/01/2020,10/31/2020,0.044331855604813,Percent
1,ED,Cannabis,Age,0-15 Years,10,10/01/2020,10/31/2020,0.13299556681444,Percent
1,ED,Benzodiazepine,Age,0-15 Years,10,10/01/2020,10/31/2020,0.037998733375554,Percent
1,ED,All Drugs,Age,0-15 Years,11,11/01/2020,11/30/2020,4.281557433836775,Percent
1,ED,All Opioids,Age,0-15 Years,11,11/01/2020,11/30/2020,0.055424691700152,Percent
1,ED,Stimulants,Age,0-15 Years,11,11/01/2020,11/30/2020,0.124705556325343,Percent
1,ED,Cannabis,Age,0-15 Years,11,11/01/2020,11/30/2020,0.173202161562976,Percent
1,ED,Benzodiazepine,Age,0-15 Years,11,11/01/2020,11/30/2020,0.055424691700152,Percent
1,ED,All Drugs,Age,0-15 Years,12,12/01/2020,12/31/2020,3.709888195150283,Percent
1,ED,All Opioids,Age,0-15 Years,12,12/01/2020,12/31/2020,0.007260055176419,Percent
1,ED,Stimulants,Age,0-15 Years,12,12/01/2020,12/31/2020,0.058080441411355,Percent
1,ED,Cannabis,Age,0-15 Years,12,12/01/2020,12/31/2020,0.130680993175548,Percent
1,ED,Benzodiazepine,Age,0-15 Years,12,12/01/2020,12/31/2020,0.021780165529258,Percent
1,ED,All Drugs,Age,0-15 Years,13,01/01/2021,01/31/2021,4.273563377359795,Percent
1,ED,All Opioids,Age,0-15 Years,13,01/01/2021,01/31/2021,0.013830302192103,Percent
1,ED,Stimulants,Age,0-15 Years,13,01/01/2021,01/31/2021,0.04840605767236,Percent
1,ED,Cannabis,Age,0-15 Years,13,01/01/2021,01/31/2021,0.165963626305235,Percent
1,ED,Benzodiazepine,Age,0-15 Years,13,01/01/2021,01/31/2021,0.027660604384206,Percent
1,ED,All Drugs,Age,0-15 Years,14,02/01/2021,02/28/2021,5.027085590465872,Percent
1,ED,All Opioids,Age,0-15 Years,14,02/01/2021,02/28/2021,0.057782592993861,Percent
1,ED,Stimulants,Age,0-15 Years,14,02/01/2021,02/28/2021,0.050559768869628,Percent
1,ED,Cannabis,Age,0-15 Years,14,02/01/2021,02/28/2021,0.173347778981582,Percent
1,ED,Benzodiazepine,Age,0-15 Years,14,02/01/2021,02/28/2021,0.014445648248465,Percent
1,ED,All Drugs,Age,0-15 Years,15,03/01/2021,03/31/2021,4.456338355925301,Percent
1,ED,All Opioids,Age,0-15 Years,15,03/01/2021,03/31/2021,0.029088370469486,Percent
1,ED,Stimulants,Age,0-15 Years,15,03/01/2021,03/31/2021,0.06399441503287,Percent
1,ED,Cannabis,Age,0-15 Years,15,03/01/2021,03/31/2021,0.186165571004712,Percent
1,ED,Benzodiazepine,Age,0-15 Years,15,03/01/2021,03/31/2021,0.023270696375589,Percent
1,ED,All Drugs,Age,0-15 Years,16,04/01/2021,04/30/2021,3.64292246722894,Percent
1,ED,All Opioids,Age,0-15 Years,16,04/01/2021,04/30/2021,0.035565491311859,Percent
1,ED,Stimulants,Age,0-15 Years,16,04/01/2021,04/30/2021,0.035565491311859,Percent
1,ED,Cannabis,Age,0-15 Years,16,04/01/2021,04/30/2021,0.177827456559293,Percent
1,ED,Benzodiazepine,Age,0-15 Years,16,04/01/2021,04/30/2021,0.035565491311859,Percent
1,ED,All Drugs,Age,0-15 Years,17,05/01/2021,05/31/2021,3.648827952233525,Percent
1,ED,All Opioids,Age,0-15 Years,17,05/01/2021,05/31/2021,0.039805395842548,Percent
1,ED,Stimulants,Age,0-15 Years,17,05/01/2021,05/31/2021,0.035382574082264,Percent
1,ED,Cannabis,Age,0-15 Years,17,05/01/2021,05/31/2021,0.145953118089341,Percent
1,ED,Benzodiazepine,Age,0-15 Years,17,05/01/2021,05/31/2021,0.026536930561698,Percent
1,ED,All Drugs,Age,0-15 Years,18,06/01/2021,06/30/2021,3.362560280578693,Percent
1,ED,All Opioids,Age,0-15 Years,18,06/01/2021,06/30/2021,0.04384042086804,Percent
1,ED,Stimulants,Age,0-15 Years,18,06/01/2021,06/30/2021,0.030688294607628,Percent
1,ED,Cannabis,Age,0-15 Years,18,06/01/2021,06/30/2021,0.078912757562473,Percent
1,ED,Benzodiazepine,Age,0-15 Years,18,06/01/2021,06/30/2021,0.004384042086804,Percent
1,ED,All Drugs,Age,0-15 Years,19,07/01/2021,07/31/2021,2.947872977831036,Percent
1,ED,All Opioids,Age,0-15 Years,19,07/01/2021,07/31/2021,0.019972039145197,Percent
1,ED,Stimulants,Age,0-15 Years,19,07/01/2021,07/31/2021,0.031955262632315,Percent
1,ED,Cannabis,Age,0-15 Years,19,07/01/2021,07/31/2021,0.091871380067905,Percent
1,ED,Benzodiazepine,Age,0-15 Years,19,07/01/2021,07/31/2021,0.019972039145197,Percent
1,ED,All Drugs,Age,0-15 Years,20,08/01/2021,08/31/2021,2.660109533921985,Percent
1,ED,All Opioids,Age,0-15 Years,20,08/01/2021,08/31/2021,0.026079505234529,Percent
1,ED,Stimulants,Age,0-15 Years,20,08/01/2021,08/31/2021,0.033530792444395,Percent
1,ED,Cannabis,Age,0-15 Years,20,08/01/2021,08/31/2021,0.074512872098655,Percent
1,ED,Benzodiazepine,Age,0-15 Years,20,08/01/2021,08/31/2021,0.003725643604933,Percent
1,ED,All Drugs,Age,0-15 Years,21,09/01/2021,09/30/2021,3.142621125597098,Percent
1,ED,All Opioids,Age,0-15 Years,21,09/01/2021,09/30/2021,0.021549402004094,Percent
1,ED,Stimulants,Age,0-15 Years,21,09/01/2021,09/30/2021,0.032324103006142,Percent
1,ED,Cannabis,Age,0-15 Years,21,09/01/2021,09/30/2021,0.096972309018425,Percent
1,ED,Benzodiazepine,Age,0-15 Years,21,09/01/2021,09/30/2021,0.01436626800273,Percent
1,ED,All Drugs,Age,0-15 Years,22,10/01/2021,10/31/2021,2.930376028202115,Percent
1,ED,All Opioids,Age,0-15 Years,22,10/01/2021,10/31/2021,0.040393654524089,Percent
1,ED,Stimulants,Age,0-15 Years,22,10/01/2021,10/31/2021,0.014688601645123,Percent
1,ED,Cannabis,Age,0-15 Years,22,10/01/2021,10/31/2021,0.13219741480611,Percent
1,ED,Benzodiazepine,Age,0-15 Years,22,10/01/2021,10/31/2021,0.029377203290247,Percent
1,ED,All Drugs,Age,0-15 Years,23,11/01/2021,11/30/2021,3.716551040634291,Percent
1,ED,All Opioids,Age,0-15 Years,23,11/01/2021,11/30/2021,0.02287108332698,Percent
1,ED,Stimulants,Age,0-15 Years,23,11/01/2021,11/30/2021,0.026682930548144,Percent
1,ED,Cannabis,Age,0-15 Years,23,11/01/2021,11/30/2021,0.137226499961882,Percent
1,ED,Benzodiazepine,Age,0-15 Years,23,11/01/2021,11/30/2021,0.030494777769307,Percent
1,ED,All Drugs,Age,0-15 Years,24,12/01/2021,12/31/2021,3.54823495265392,Percent
1,ED,All Opioids,Age,0-15 Years,24,12/01/2021,12/31/2021,0.03990857308711,Percent
1,ED,Stimulants,Age,0-15 Years,24,12/01/2021,12/31/2021,0.032652468889453,Percent
1,ED,Cannabis,Age,0-15 Years,24,12/01/2021,12/31/2021,0.119725719261329,Percent
1,ED,Benzodiazepine,Age,0-15 Years,24,12/01/2021,12/31/2021,0,Percent
1,ED,All Drugs,Age,0-15 Years,25,01/01/2022,01/31/2022,3.189973172367538,Percent
1,ED,All Opioids,Age,0-15 Years,25,01/01/2022,01/31/2022,0.041918175720993,Percent
1,ED,Stimulants,Age,0-15 Years,25,01/01/2022,01/31/2022,0.008383635144199,Percent
1,ED,Cannabis,Age,0-15 Years,25,01/01/2022,01/31/2022,0.180248155600268,Percent
1,ED,Benzodiazepine,Age,0-15 Years,25,01/01/2022,01/31/2022,0.012575452716298,Percent
1,ED,All Drugs,Age,0-15 Years,26,02/01/2022,02/28/2022,3.637508476218153,Percent
1,ED,All Opioids,Age,0-15 Years,26,02/01/2022,02/28/2022,0.02421776615325,Percent
1,ED,Stimulants,Age,0-15 Years,26,02/01/2022,02/28/2022,0.0387484258452,Percent
1,ED,Cannabis,Age,0-15 Years,26,02/01/2022,02/28/2022,0.22764700184055,Percent
1,ED,Benzodiazepine,Age,0-15 Years,26,02/01/2022,02/28/2022,0.0193742129226,Percent
1,ED,All Drugs,Age,0-15 Years,27,03/01/2022,03/31/2022,3.854146986586057,Percent
1,ED,All Opioids,Age,0-15 Years,27,03/01/2022,03/31/2022,0.026450028339316,Percent
1,ED,Stimulants,Age,0-15 Years,27,03/01/2022,03/31/2022,0.015114301908181,Percent
1,ED,Cannabis,Age,0-15 Years,27,03/01/2022,03/31/2022,0.211600226714529,Percent
1,ED,Benzodiazepine,Age,0-15 Years,27,03/01/2022,03/31/2022,0.022671452862271,Percent
1,ED,All Drugs,Age,0-15 Years,28,04/01/2022,04/30/2022,3.852993479549496,Percent
1,ED,All Opioids,Age,0-15 Years,28,04/01/2022,04/30/2022,0.014819205690575,Percent
1,ED,Stimulants,Age,0-15 Years,28,04/01/2022,04/30/2022,0.025933609958506,Percent
1,ED,Cannabis,Age,0-15 Years,28,04/01/2022,04/30/2022,0.196354475400119,Percent
1,ED,Benzodiazepine,Age,0-15 Years,28,04/01/2022,04/30/2022,0.02963841138115,Percent
1,ED,All Drugs,Age,0-15 Years,29,05/01/2022,05/31/2022,3.841598104811602,Percent
1,ED,All Opioids,Age,0-15 Years,29,05/01/2022,05/31/2022,0.032013317540097,Percent
1,ED,Stimulants,Age,0-15 Years,29,05/01/2022,05/31/2022,0.009603995262029,Percent
1,ED,Cannabis,Age,0-15 Years,29,05/01/2022,05/31/2022,0.166469251208503,Percent
1,ED,Benzodiazepine,Age,0-15 Years,29,05/01/2022,05/31/2022,0.019207990524058,Percent
1,ED,All Drugs,Age,0-15 Years,30,06/01/2022,06/30/2022,3.495635022098842,Percent
1,ED,All Opioids,Age,0-15 Years,30,06/01/2022,06/30/2022,0.014610804690068,Percent
1,ED,Stimulants,Age,0-15 Years,30,06/01/2022,06/30/2022,0.014610804690068,Percent
1,ED,Cannabis,Age,0-15 Years,30,06/01/2022,06/30/2022,0.164371552763268,Percent
1,ED,Benzodiazepine,Age,0-15 Years,30,06/01/2022,06/30/2022,0.014610804690068,Percent
1,ED,All Drugs,Age,0-15 Years,31,07/01/2022,07/31/2022,3.086079142361658,Percent
1,ED,All Opioids,Age,0-15 Years,31,07/01/2022,07/31/2022,0.019706763361186,Percent
1,ED,Stimulants,Age,0-15 Years,31,07/01/2022,07/31/2022,0.02758946870566,Percent
1,ED,Cannabis,Age,0-15 Years,31,07/01/2022,07/31/2022,0.208891691628567,Percent
1,ED,Benzodiazepine,Age,0-15 Years,31,07/01/2022,07/31/2022,0.019706763361186,Percent
1,ED,All Drugs,Age,0-15 Years,32,08/01/2022,08/31/2022,3.317813685981455,Percent
1,ED,All Opioids,Age,0-15 Years,32,08/01/2022,08/31/2022,0.023475096834774,Percent
1,ED,Stimulants,Age,0-15 Years,32,08/01/2022,08/31/2022,0.027387612973904,Percent
1,ED,Cannabis,Age,0-15 Years,32,08/01/2022,08/31/2022,0.133025548730389,Percent
1,ED,Benzodiazepine,Age,0-15 Years,32,08/01/2022,08/31/2022,0.019562580695645,Percent
1,ED,All Drugs,Age,0-15 Years,33,09/01/2022,09/30/2022,4.250582628961007,Percent
1,ED,All Opioids,Age,0-15 Years,33,09/01/2022,09/30/2022,0.034783818567602,Percent
1,ED,Stimulants,Age,0-15 Years,33,09/01/2022,09/30/2022,0.031305436710842,Percent
1,ED,Cannabis,Age,0-15 Years,33,09/01/2022,09/30/2022,0.194789383978573,Percent
1,ED,Benzodiazepine,Age,0-15 Years,33,09/01/2022,09/30/2022,0.010435145570281,Percent
1,ED,All Drugs,Age,0-15 Years,34,10/01/2022,10/31/2022,3.712578577207942,Percent
1,ED,All Opioids,Age,0-15 Years,34,10/01/2022,10/31/2022,0.015559843156781,Percent
1,ED,Stimulants,Age,0-15 Years,34,10/01/2022,10/31/2022,0.012447874525425,Percent
1,ED,Cannabis,Age,0-15 Years,34,10/01/2022,10/31/2022,0.143150557042385,Percent
1,ED,Benzodiazepine,Age,0-15 Years,34,10/01/2022,10/31/2022,0.009335905894069,Percent
1,ED,All Drugs,Age,0-15 Years,35,11/01/2022,11/30/2022,3.366609092772037,Percent
1,ED,All Opioids,Age,0-15 Years,35,11/01/2022,11/30/2022,0.008782458502884,Percent
1,ED,Stimulants,Age,0-15 Years,35,11/01/2022,11/30/2022,0.017564917005767,Percent
1,ED,Cannabis,Age,0-15 Years,35,11/01/2022,11/30/2022,0.143446822213765,Percent
1,ED,Benzodiazepine,Age,0-15 Years,35,11/01/2022,11/30/2022,0.005854972335256,Percent
1,ED,All Drugs,Age,0-15 Years,36,12/01/2022,12/31/2022,3.715213520025141,Percent
1,ED,All Opioids,Age,0-15 Years,36,12/01/2022,12/31/2022,0.017458710150494,Percent
1,ED,Stimulants,Age,0-15 Years,36,12/01/2022,12/31/2022,0.010475226090296,Percent
1,ED,Cannabis,Age,0-15 Years,36,12/01/2022,12/31/2022,0.157128391354447,Percent
1,ED,Benzodiazepine,Age,0-15 Years,36,12/01/2022,12/31/2022,0.006983484060198,Percent
1,ED,All Drugs,Age,0-15 Years,37,01/01/2023,01/31/2023,4.081294068851099,Percent
1,ED,All Opioids,Age,0-15 Years,37,01/01/2023,01/31/2023,0.024885939444214,Percent
1,ED,Stimulants,Age,0-15 Years,37,01/01/2023,01/31/2023,0.024885939444214,Percent
1,ED,Cannabis,Age,0-15 Years,37,01/01/2023,01/31/2023,0.269597677312319,Percent
1,ED,Benzodiazepine,Age,0-15 Years,37,01/01/2023,01/31/2023,0.016590626296143,Percent
1,ED,All Drugs,Age,0-15 Years,38,02/01/2023,02/28/2023,3.969669937555754,Percent
1,ED,All Opioids,Age,0-15 Years,38,02/01/2023,02/28/2023,0.028383748276701,Percent
1,ED,Stimulants,Age,0-15 Years,38,02/01/2023,02/28/2023,0.024328927094315,Percent
1,ED,Cannabis,Age,0-15 Years,38,02/01/2023,02/28/2023,0.182466953207364,Percent
1,ED,Benzodiazepine,Age,0-15 Years,38,02/01/2023,02/28/2023,0,Percent
1,ED,All Drugs,Age,0-15 Years,39,03/01/2023,03/31/2023,3.774613093075638,Percent
1,ED,All Opioids,Age,0-15 Years,39,03/01/2023,03/31/2023,0.018164644336264,Percent
1,ED,Stimulants,Age,0-15 Years,39,03/01/2023,03/31/2023,0.039962217539781,Percent
1,ED,Cannabis,Age,0-15 Years,39,03/01/2023,03/31/2023,0.225241589769672,Percent
1,ED,Benzodiazepine,Age,0-15 Years,39,03/01/2023,03/31/2023,0.018164644336264,Percent
1,ED,All Drugs,Age,0-15 Years,40,04/01/2023,04/30/2023,4.485972282582452,Percent
1,ED,All Opioids,Age,0-15 Years,40,04/01/2023,04/30/2023,0.033801728716983,Percent
1,ED,Stimulants,Age,0-15 Years,40,04/01/2023,04/30/2023,0.014486455164421,Percent
1,ED,Cannabis,Age,0-15 Years,40,04/01/2023,04/30/2023,0.222125645854459,Percent
1,ED,Benzodiazepine,Age,0-15 Years,40,04/01/2023,04/30/2023,0.009657636776281,Percent
1,ED,All Drugs,Age,0-15 Years,41,05/01/2023,05/27/2023,4.066420664206642,Percent
1,ED,All Opioids,Age,0-15 Years,41,05/01/2023,05/27/2023,0.044280442804428,Percent
1,ED,Stimulants,Age,0-15 Years,41,05/01/2023,05/27/2023,0.014760147601476,Percent
1,ED,Cannabis,Age,0-15 Years,41,05/01/2023,05/27/2023,0.25830258302583,Percent
1,ED,Benzodiazepine,Age,0-15 Years,41,05/01/2023,05/27/2023,0,Percent
1,ED,All Drugs,Age,16-34 Years,1,01/01/2020,01/31/2020,31.21017047843949,Percent
1,ED,All Opioids,Age,16-34 Years,1,01/01/2020,01/31/2020,2.212661339889367,Percent
1,ED,Stimulants,Age,16-34 Years,1,01/01/2020,01/31/2020,1.843884449907806,Percent
1,ED,Cannabis,Age,16-34 Years,1,01/01/2020,01/31/2020,4.548248309772587,Percent
1,ED,Benzodiazepine,Age,16-34 Years,1,01/01/2020,01/31/2020,0.459353669977032,Percent
1,ED,All Drugs,Age,16-34 Years,2,02/01/2020,02/29/2020,31.430788768167066,Percent
1,ED,All Opioids,Age,16-34 Years,2,02/01/2020,02/29/2020,2.451672075631438,Percent
1,ED,Stimulants,Age,16-34 Years,2,02/01/2020,02/29/2020,2.024834203471145,Percent
1,ED,Cannabis,Age,16-34 Years,2,02/01/2020,02/29/2020,4.670523493720897,Percent
1,ED,Benzodiazepine,Age,16-34 Years,2,02/01/2020,02/29/2020,0.57499647241428,Percent
1,ED,All Drugs,Age,16-34 Years,3,03/01/2020,03/31/2020,32.053261289077575,Percent
1,ED,All Opioids,Age,16-34 Years,3,03/01/2020,03/31/2020,2.423774604399846,Percent
1,ED,Stimulants,Age,16-34 Years,3,03/01/2020,03/31/2020,2.091856426090313,Percent
1,ED,Cannabis,Age,16-34 Years,3,03/01/2020,03/31/2020,4.226167502894636,Percent
1,ED,Benzodiazepine,Age,16-34 Years,3,03/01/2020,03/31/2020,0.459282130451563,Percent
1,ED,All Drugs,Age,16-34 Years,4,04/01/2020,04/30/2020,35.277293337983956,Percent
1,ED,All Opioids,Age,16-34 Years,4,04/01/2020,04/30/2020,3.236832926403906,Percent
1,ED,Stimulants,Age,16-34 Years,4,04/01/2020,04/30/2020,2.999651203348448,Percent
1,ED,Cannabis,Age,16-34 Years,4,04/01/2020,04/30/2020,4.918032786885246,Percent
1,ED,Benzodiazepine,Age,16-34 Years,4,04/01/2020,04/30/2020,0.502267178235089,Percent
1,ED,All Drugs,Age,16-34 Years,5,05/01/2020,05/31/2020,35.759580920871244,Percent
1,ED,All Opioids,Age,16-34 Years,5,05/01/2020,05/31/2020,2.966639095671354,Percent
1,ED,Stimulants,Age,16-34 Years,5,05/01/2020,05/31/2020,2.558588365039978,Percent
1,ED,Cannabis,Age,16-34 Years,5,05/01/2020,05/31/2020,4.973807554452716,Percent
1,ED,Benzodiazepine,Age,16-34 Years,5,05/01/2020,05/31/2020,0.711331679073615,Percent
